"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-01-21","14.09","0.07","2.5","5.9","10"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-01-22","12.30","0.00","0.6","5.1","6"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-01-23","14.32","0.00","0.0","5.1","3"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-01-24","20.13","0.02","0.4","3.9","5"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-01-25","17.90","0.00","0.0","3.9","23"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-01-26","16.11","0.17","2.4","5.1","15"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-01-27","16.11","0.00","0.0","3.9","5"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-01-28","11.86","0.00","0.0","3.1","-5"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-01-29","12.97","0.00","0.0","3.1","8"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-01-30","18.12","0.00","0.4","3.1","24"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-01-31","5.59","0.01","0.2","3.1","24"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-02-01","6.93","0.43","3.8","3.9","25"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-02-02","7.83","0.00","0.0","5.9","19"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-02-03","3.80","0.00","0.0","5.9","8"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-02-04","6.93","0.08","1.3","5.9","15"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-02-05","13.20","0.35","5.7","9.8","23"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-02-06","12.30","0.00","0.0","11.8","7"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-02-07","10.51","0.00","0.0","11.0","2"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-02-08","4.92","0.07","2.5","11.0","10"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-02-09","9.40","0.00","0.0","13.0","14"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-02-10","8.95","0.00","0.0","13.0","6"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-02-11","5.82","0.00","0.0","11.8","4"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-02-12","6.49","0.00","0.0","11.8","8"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-02-13","11.41","0.00","0.1","11.0","22"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-02-14","9.84","0.00","0.0","9.1","20"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-02-15","7.38","0.04","0.7","9.1","15"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-02-16","10.51","0.00","0.0","9.8","20"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-02-17","14.54","0.35","5.0","9.1","24"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-02-18","12.30","0.00","0.0","14.2","31"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-02-19","7.38","0.00","0.0","7.1","38"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-02-20","13.87","1.16","0.1","5.9","36"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-02-21","23.26","0.00","0.3","3.9","34"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-02-22","11.63","0.00","0.0","3.1","28"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-02-23","12.75","0.00","0.0","3.1","23"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-02-24","12.30","0.00","0.0","2.0","18"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-02-25","12.97","0.00","0.0","2.0","18"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-02-26","15.43","0.00","0.0","2.0","8"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-02-27","11.86","0.00","0.0","2.0","11"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-02-28","9.17","0.00","0.0","2.0","12"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-03-01","9.40","0.29","3.7","3.1","25"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-03-02","11.18","0.09","1.4","5.9","11"
